 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   9  -1.  2.02E+02  2.012E+02  7.309  0.000  0.003  0.000  0.000 -1.000  30.092
  10   0.  2.02E+02  2.012E+02  7.308  0.000  0.002  0.000  0.000 -1.000  30.087
  11   0.  2.02E+02  2.012E+02  7.307  0.000  0.003  0.000  0.000 -1.000  30.087
  12   0.  2.02E+02  2.012E+02  7.306  0.000  0.002  0.000  0.000 -1.000  30.088
  13   0.  2.02E+02  2.012E+02  7.306  0.000  0.002  0.000  0.000 -1.000  30.090
  14   0.  2.02E+02  2.012E+02  7.305  0.000  0.002  0.000  0.000 -1.000  30.093
  15   0.  2.02E+02  2.012E+02  7.305  0.000  0.004  0.000  0.000 -1.000  30.095
 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       7.71E+00  5.109E+03
   1  -3.  8.55E+01  3.707E+02  2.208  0.000  0.802  0.000  0.000 -1.000  39.130
   2  -4.  1.10E+02  2.260E+02  3.312  0.000  0.551  0.000  0.000 -1.000  25.780
   3  -5.  1.44E+02  1.235E+02  4.967  0.000  0.827  0.000  0.000 -1.000  29.934
   4  -5.  1.98E+02  7.155E+01  7.451  0.000  0.413  0.000  0.000 -1.000  25.195
   5  -6.  2.01E+02  6.796E+01  7.568  0.000  0.620  0.000  0.000 -1.000  27.154
   6  -1.  2.07E+02  6.742E+01  7.379  0.000  0.310  0.000  0.000 -1.000  26.794
   7  -2.  2.05E+02  6.739E+01  7.283  0.000  0.155  0.000  0.000 -1.000  26.814
   8   0.  2.06E+02  6.723E+01  7.307  0.000  0.078  0.000  0.000 -1.000  26.869
   9   0.  2.06E+02  6.718E+01  7.317  0.000  0.039  0.000  0.000 -1.000  26.890
  10   1.  2.06E+02  6.716E+01  7.326  0.000  0.058  0.000  0.000 -1.000  26.907
  11   0.  2.06E+02  6.714E+01  7.332  0.000  0.029  0.000  0.000 -1.000  26.917
  12   0.  2.06E+02  6.705E+01  7.390  0.000  0.044  0.000  0.000 -1.000  27.019
  13   1.  2.06E+02  6.705E+01  7.390  0.000  0.022  0.000  0.000 -1.000  27.019
  14   3.  2.06E+02  6.705E+01  7.390  0.000  0.021  0.000  0.000 -1.000  27.019
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       2.06E+02  2.084E+02
  15   3.  2.06E+02  6.705E+01  7.390  0.000  0.020  0.000  0.000 -1.000  27.019
   1  -1.  2.02E+02  2.062E+02  7.476  0.000  0.010  0.000  0.000 -1.000  26.663
   2  -2.  1.94E+02  2.054E+02  7.452  0.000  0.015  0.000  0.000 -1.000  28.443
   3  -3.  1.95E+02  2.033E+02  7.297  0.000  0.022  0.000  0.000 -1.000  30.051
   4  -1.  1.96E+02  2.011E+02  7.313  0.000  0.011  0.000  0.000 -1.000  29.898
   5  -1.  1.97E+02  2.005E+02  7.304  0.000  0.006  0.000  0.000 -1.000  29.755
   6  -1.  1.97E+02  2.002E+02  7.312  0.000  0.003  0.000  0.000 -1.000  29.715
   7  -1.  1.97E+02  2.000E+02  7.304  0.000  0.003  0.000  0.000 -1.000  29.701
   8  -1.  1.97E+02  2.000E+02  7.303  0.000  0.005  0.000  0.000 -1.000  29.697
   9  -1.  1.97E+02  1.999E+02  7.297  0.000  0.003  0.000  0.000 -1.000  29.710
  10  -1.  1.97E+02  1.999E+02  7.298  0.000  0.002  0.000  0.000 -1.000  29.712
  11  -2.  1.97E+02  1.999E+02  7.295  0.000  0.002  0.000  0.000 -1.000  29.746
  12   0.  1.97E+02  1.999E+02  7.294  0.000  0.001  0.000  0.000 -1.000  29.746
  13   0.  1.97E+02  1.998E+02  7.293  0.000  0.001  0.000  0.000 -1.000  29.746
  14   0.  1.97E+02  1.998E+02  7.293  0.000  0.001  0.000  0.000 -1.000  29.748
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.97E+02  2.033E+02
  15   0.  1.97E+02  1.998E+02  7.293  0.000  0.001  0.000  0.000 -1.000  29.750
   1   0.  1.97E+02  2.026E+02  7.268  0.000  0.002  0.000  0.000 -1.000  29.762
   2   0.  1.96E+02  2.020E+02  7.242  0.000  0.003  0.000  0.000 -1.000  29.782
   3   0.  1.97E+02  2.015E+02  7.216  0.000  0.002  0.000  0.000 -1.000  29.781
   4   0.  1.96E+02  2.012E+02  7.197  0.000  0.001  0.000  0.000 -1.000  29.842
   5   0.  1.97E+02  2.008E+02  7.177  0.000  0.001  0.000  0.000 -1.000  29.884
   6   0.  1.96E+02  2.005E+02  7.160  0.000  0.001  0.000  0.000 -1.000  29.943
   7   0.  1.97E+02  2.002E+02  7.142  0.000  0.000  0.000  0.000 -1.000  30.001
   8   0.  1.96E+02  2.000E+02  7.126  0.000  0.000  0.000  0.000 -1.000  30.064
   9  -1.  1.94E+02  1.980E+02  6.997  0.000  0.000  0.000  0.000 -1.000  30.657
  10   0.  1.95E+02  1.969E+02  6.970  0.000  0.000  0.000  0.000 -1.000  30.743
  11   0.  1.96E+02  1.969E+02  6.955  0.000  0.000  0.000  0.000 -1.000  30.809
  12   0.  1.95E+02  1.953E+02  6.931  0.000  0.000  0.000  0.000 -1.000  30.907
  13   0.  1.96E+02  1.949E+02  6.912  0.000  0.000  0.000  0.000 -1.000  30.950
  14   0.  1.95E+02  1.944E+02  6.893  0.000  0.000  0.000  0.000 -1.000  31.036
  15   0.  1.95E+02  1.941E+02  6.871  0.000  0.000  0.000  0.000 -1.000  31.075
  16   0.  1.95E+02  1.939E+02  6.851  0.000  0.000  0.000  0.000 -1.000  31.139
  17   0.  1.95E+02  1.936E+02  6.830  0.000  0.000  0.000  0.000 -1.000  31.185
  18   0.  1.94E+02  1.934E+02  6.810  0.000  0.000  0.000  0.000 -1.000  31.244
  19   0.  1.94E+02  1.932E+02  6.791  0.000  0.000  0.000  0.000 -1.000  31.295
  20   0.  1.94E+02  1.929E+02  6.772  0.000  0.000  0.000  0.000 -1.000  31.351
  21   0.  1.94E+02  1.927E+02  6.754  0.000  0.000  0.000  0.000 -1.000  31.402
 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       7.71E+00  4.134E+03
   1  -3.  7.98E+01  6.765E+01  1.821  0.000  0.587  0.000  0.000 -1.000  39.130
   2  -4.  8.98E+01  5.570E+01  2.731  0.000  0.293  0.000  0.000 -1.000  24.324
   3  -5.  1.20E+02  3.323E+01  4.096  0.000  0.147  0.000  0.000 -1.000  27.969
   4  -5.  1.80E+02  1.801E+01  6.144  0.000  0.073  0.000  0.000 -1.000  31.292
   5  -6.  2.08E+02  1.527E+01  7.463  0.000  0.037  0.000  0.000 -1.000  28.231
   6  -6.  2.08E+02  1.508E+01  7.315  0.000  0.055  0.000  0.000 -1.000  28.206
   7  -1.  2.08E+02  1.505E+01  6.943  0.000  0.027  0.000  0.000 -1.000  28.237
   8  -2.  2.09E+02  1.498E+01  7.050  0.000  0.014  0.000  0.000 -1.000  28.674
   9  -2.  2.09E+02  1.497E+01  7.059  0.000  0.021  0.000  0.000 -1.000  28.718
  10  -2.  2.08E+02  1.497E+01  7.054  0.000  0.010  0.000  0.000 -1.000  28.705
  11  -2.  2.08E+02  1.496E+01  7.045  0.000  0.005  0.000  0.000 -1.000  28.709
  12  -2.  2.08E+02  1.496E+01  7.032  0.000  0.008  0.000  0.000 -1.000  28.725
  13  -2.  2.08E+02  1.496E+01  7.019  0.000  0.004  0.000  0.000 -1.000  28.745
  14  -3.  2.08E+02  1.496E+01  6.998  0.000  0.006  0.000  0.000 -1.000  28.790
  15  -3.  2.08E+02  1.496E+01  6.990  0.000  0.009  0.000  0.000 -1.000  28.813
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       2.08E+02  1.141E+02
  16  -4.  2.08E+02  1.496E+01  6.983  0.000  0.013  0.000  0.000 -1.000  28.831
   1  -1.  2.07E+02  1.134E+02  7.063  0.000  0.007  0.000  0.000 -1.000  28.630
   2  -2.  2.07E+02  1.132E+02  7.151  0.000  0.010  0.000  0.000 -1.000  28.202
   3   0.  2.08E+02  1.130E+02  7.163  0.000  0.005  0.000  0.000 -1.000  28.230
   4  -1.  2.08E+02  1.130E+02  7.178  0.000  0.007  0.000  0.000 -1.000  28.256
   5   0.  2.08E+02  1.130E+02  7.181  0.000  0.004  0.000  0.000 -1.000  28.253
   6  -1.  2.08E+02  1.130E+02  7.190  0.000  0.002  0.000  0.000 -1.000  28.217
   7   0.  2.08E+02  1.130E+02  7.191  0.000  0.001  0.000  0.000 -1.000  28.213
   8  -1.  2.08E+02  1.130E+02  7.197  0.000  0.000  0.000  0.000 -1.000  28.180
   9  -1.  2.08E+02  1.130E+02  7.202  0.000  0.000  0.000  0.000 -1.000  28.152
  10  -1.  2.08E+02  1.130E+02  7.205  0.000  0.000  0.000  0.000 -1.000  28.125
  11   0.  2.08E+02  1.130E+02  7.206  0.000  0.000  0.000  0.000 -1.000  28.122
  12   0.  2.08E+02  1.129E+02  7.206  0.000  0.000  0.000  0.000 -1.000  28.119
  13  -1.  2.08E+02  1.129E+02  7.209  0.000  0.001  0.000  0.000 -1.000  28.096
  14  -2.  2.08E+02  1.129E+02  7.215  0.000  0.001  0.000  0.000 -1.000  28.039
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       2.08E+02  1.111E+03
  15   0.  2.08E+02  1.129E+02  7.215  0.000  0.001  0.000  0.000 -1.000  28.036
   1   0.  2.06E+02  1.095E+03  7.244  0.000  0.000  0.000  0.000 -1.000  27.950
   2   0.  2.05E+02  1.082E+03  7.220  0.000  0.000  0.000  0.000 -1.000  27.821
   3   0.  2.04E+02  1.067E+03  7.167  0.000  0.000  0.000  0.000 -1.000  27.637
   4   0.  2.05E+02  1.060E+03  7.101  0.000  0.000  0.000  0.000 -1.000  27.447
   5   1.  2.04E+02  1.055E+03  7.085  0.000  0.000  0.000  0.000 -1.000  27.391
   6   1.  2.04E+02  1.053E+03  7.070  0.000  0.000  0.000  0.000 -1.000  27.346
   7   0.  2.03E+02  1.043E+03  7.003  0.000  0.000  0.000  0.000 -1.000  27.215
   8   0.  2.03E+02  1.039E+03  6.952  0.000  0.000  0.000  0.000 -1.000  27.122
   9   1.  2.03E+02  1.030E+03  6.940  0.000  0.000  0.000  0.000 -1.000  27.083
  10   1.  2.03E+02  1.028E+03  6.929  0.000  0.000  0.000  0.000 -1.000  27.056
  11   1.  2.03E+02  1.027E+03  6.919  0.000  0.000  0.000  0.000 -1.000  27.035
  12   1.  2.04E+02  1.026E+03  6.910  0.000  0.000  0.000  0.000 -1.000  27.019
  13   1.  2.04E+02  1.025E+03  6.902  0.000  0.000  0.000  0.000 -1.000  27.006
  14   1.  2.05E+02  1.023E+03  6.894  0.000  0.000  0.000  0.000 -1.000  26.992
  15   1.  2.05E+02  1.022E+03  6.885  0.000  0.000  0.000  0.000 -1.000  26.970
  16   0.  2.04E+02  1.013E+03  6.840  0.000  0.000  0.000  0.000 -1.000  26.947
  17   0.  2.03E+02  1.009E+03  6.795  0.000  0.000  0.000  0.000 -1.000  26.907
  18   1.  2.03E+02  1.006E+03  6.784  0.000  0.000  0.000  0.000 -1.000  26.886
  19   1.  2.03E+02  1.004E+03  6.775  0.000  0.000  0.000  0.000 -1.000  26.870
  20   0.  2.01E+02  1.000E+03  6.722  0.000  0.000  0.000  0.000 -1.000  26.883
  21   1.  2.01E+02  9.981E+02  6.710  0.000  0.000  0.000  0.000 -1.000  26.862
