 -------------------------------------------------------------------------------
 -                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   7  -1.  9.52E+01  1.597E+03  4.698  0.000  0.600  0.000  0.000 -1.000  44.254
   8  -1.  9.51E+01  1.596E+03  4.694  0.000  0.600  0.000  0.000 -1.000  44.323
   9  -2.  9.45E+01  1.583E+03  4.684  0.000  0.600  0.000  0.000 -1.000  44.683
  10  -1.  9.43E+01  1.583E+03  4.681  0.000  0.600  0.000  0.000 -1.000  44.930
  11  -1.  9.43E+01  1.579E+03  4.696  0.000  0.600  0.000  0.000 -1.000  45.105
  12  -1.  9.43E+01  1.578E+03  4.701  0.000  0.600  0.000  0.000 -1.000  45.168
  13  -1.  9.42E+01  1.577E+03  4.707  0.000  0.600  0.000  0.000 -1.000  45.205
  14  -1.  9.42E+01  1.576E+03  4.711  0.000  0.600  0.000  0.000 -1.000  45.222
  15  -1.  9.42E+01  1.575E+03  4.714  0.000  0.600  0.000  0.000 -1.000  45.232
  16  -1.  9.42E+01  1.575E+03  4.717  0.000  0.600  0.000  0.000 -1.000  45.238
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       9.42E+01  1.589E+03
  17   0.  9.42E+01  1.574E+03  4.718  0.000  0.600  0.000  0.000 -1.000  45.245
   1  -1.  9.42E+01  1.572E+03  4.725  0.000  0.600  0.000  0.000 -1.000  45.373
   2  -1.  9.42E+01  1.572E+03  4.722  0.000  0.600  0.000  0.000 -1.000  45.395
   3   0.  9.42E+01  1.571E+03  4.723  0.000  0.600  0.000  0.000 -1.000  45.404
   4   0.  9.42E+01  1.571E+03  4.723  0.000  0.600  0.000  0.000 -1.000  45.412
   5  -1.  9.42E+01  1.571E+03  4.722  0.000  0.600  0.000  0.000 -1.000  45.446
   6  -1.  9.41E+01  1.527E+03  4.721  0.000  0.600  0.000  0.000 -1.000  45.479
   7  -1.  9.41E+01  1.527E+03  4.720  0.000  0.600  0.000  0.000 -1.000  45.491
   8  -1.  9.41E+01  1.527E+03  4.720  0.000  0.600  0.000  0.000 -1.000  45.495
   9  -1.  9.41E+01  1.527E+03  4.719  0.000  0.600  0.000  0.000 -1.000  45.495
  10  -1.  9.41E+01  1.527E+03  4.719  0.000  0.600  0.000  0.000 -1.000  45.493
  11  -1.  9.41E+01  1.527E+03  4.719  0.000  0.600  0.000  0.000 -1.000  45.490
  12  -2.  9.42E+01  1.527E+03  4.718  0.000  0.600  0.000  0.000 -1.000  45.473
  13  -2.  9.42E+01  1.526E+03  4.718  0.000  0.600  0.000  0.000 -1.000  45.457
  14  -3.  9.44E+01  1.566E+03  4.714  0.000  0.600  0.000  0.000 -1.000  45.444
  15  -1.  9.45E+01  1.521E+03  4.712  0.000  0.600  0.000  0.000 -1.000  45.403
  16  -2.  9.43E+01  1.520E+03  4.710  0.000  0.600  0.000  0.000 -1.000  45.459
  17  -2.  9.44E+01  1.520E+03  4.708  0.000  0.600  0.000  0.000 -1.000  45.481
  18  -2.  9.44E+01  1.519E+03  4.707  0.000  0.600  0.000  0.000 -1.000  45.479
 -------------------------------------------------------------------------------
 -                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.00E+01  1.413E+05
   1  -3.  1.08E+01  1.276E+05  0.504  0.000  0.600  0.000  0.000 -1.000  14.286
   2  -4.  1.37E+01  8.444E+04  0.252  0.000  0.600  0.000  0.000 -1.000  20.000
   3  -5.  2.34E+01  3.523E+04  0.378  0.000  0.600  0.000  0.000 -1.000  27.273
   4  -5.  2.87E+01  2.141E+04  0.566  0.000  0.600  0.000  0.000 -1.000  36.000
   5  -6.  3.09E+01  1.762E+04  0.850  0.000  0.600  0.000  0.000 -1.000  25.023
   6  -6.  2.59E+01  1.166E+04  1.275  0.000  0.600  0.000  0.000 -1.000  23.687
   7  -6.  2.87E+01  7.083E+03  1.912  0.000  0.600  0.000  0.000 -1.000  23.177
   8  -7.  3.73E+01  4.502E+03  2.868  0.000  0.600  0.000  0.000 -1.000  23.152
   9  -7.  6.18E+01  2.299E+03  4.302  0.000  0.600  0.000  0.000 -1.000  31.125
  10  -1.  8.12E+01  1.841E+03  4.833  0.000  0.600  0.000  0.000 -1.000  38.039
  11  -1.  8.99E+01  1.541E+03  4.656  0.000  0.600  0.000  0.000 -1.000  40.871
  12  -1.  8.89E+01  1.454E+03  4.570  0.000  0.600  0.000  0.000 -1.000  42.001
  13  -1.  8.86E+01  1.448E+03  4.551  0.000  0.600  0.000  0.000 -1.000  42.469
  14  -1.  8.86E+01  1.446E+03  4.548  0.000  0.600  0.000  0.000 -1.000  42.714
  15  -1.  8.86E+01  1.445E+03  4.550  0.000  0.600  0.000  0.000 -1.000  42.870
  16  -1.  8.86E+01  1.444E+03  4.554  0.000  0.600  0.000  0.000 -1.000  42.991
  17  -2.  8.89E+01  1.436E+03  4.607  0.000  0.600  0.000  0.000 -1.000  43.671
  18  -2.  9.02E+01  1.428E+03  4.653  0.000  0.600  0.000  0.000 -1.000  43.975
  19  -1.  9.05E+01  1.425E+03  4.638  0.000  0.600  0.000  0.000 -1.000  43.831
  20  -2.  9.16E+01  1.419E+03  4.678  0.000  0.600  0.000  0.000 -1.000  43.927
  21  -3.  9.33E+01  1.415E+03  4.741  0.000  0.600  0.000  0.000 -1.000  44.376
  22  -4.  9.32E+01  1.409E+03  4.721  0.000  0.600  0.000  0.000 -1.000  44.624
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       9.32E+01  1.489E+03
  23  -4.  9.32E+01  1.409E+03  4.719  0.000  0.600  0.000  0.000 -1.000  44.647
   1   1.  9.32E+01  1.489E+03  4.719  0.000  0.600  0.000  0.000 -1.000  44.647
   2   1.  9.32E+01  1.489E+03  4.719  0.000  0.600  0.000  0.000 -1.000  44.647
   3   1.  9.32E+01  1.489E+03  4.719  0.000  0.600  0.000  0.000 -1.000  44.647
   4   1.  9.32E+01  1.489E+03  4.719  0.000  0.600  0.000  0.000 -1.000  44.647
   5   1.  9.32E+01  1.489E+03  4.719  0.000  0.600  0.000  0.000 -1.000  44.647
   6   1.  9.32E+01  1.489E+03  4.719  0.000  0.600  0.000  0.000 -1.000  44.646
   7   1.  9.32E+01  1.489E+03  4.719  0.000  0.600  0.000  0.000 -1.000  44.646
   8   1.  9.32E+01  1.489E+03  4.719  0.000  0.600  0.000  0.000 -1.000  44.646
   9   1.  9.32E+01  1.489E+03  4.719  0.000  0.600  0.000  0.000 -1.000  44.646
  10   1.  9.32E+01  1.489E+03  4.719  0.000  0.600  0.000  0.000 -1.000  44.646
  11   1.  9.32E+01  1.489E+03  4.719  0.000  0.600  0.000  0.000 -1.000  44.646
  12   1.  9.32E+01  1.489E+03  4.719  0.000  0.600  0.000  0.000 -1.000  44.646
  13   1.  9.32E+01  1.489E+03  4.719  0.000  0.600  0.000  0.000 -1.000  44.646
  14   1.  9.32E+01  1.489E+03  4.719  0.000  0.600  0.000  0.000 -1.000  44.646
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       9.32E+01  1.422E+03
  15   1.  9.32E+01  1.489E+03  4.719  0.000  0.600  0.000  0.000 -1.000  44.646
   1  -3.  9.32E+01  1.422E+03  4.718  0.000  0.600  0.000  0.000 -1.000  44.643
   2  -2.  9.32E+01  1.422E+03  4.718  0.000  0.600  0.000  0.000 -1.000  44.640
   3  -3.  9.32E+01  1.422E+03  4.718  0.000  0.600  0.000  0.000 -1.000  44.640
