 -------------------------------------------------------------------------------
 -                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
  13  -1.  2.18E+02  5.427E+01  2.168  0.000  0.000  0.000  0.000 -1.000  79.310
  14  -2.  2.16E+02  5.398E+01  2.168  0.000  0.000  0.000  0.000 -1.000  79.195
  15  -1.  2.20E+02  5.379E+01  2.170  0.000  0.000  0.000  0.000 -1.000  79.142
  16  -2.  2.18E+02  5.350E+01  2.170  0.000  0.000  0.000  0.000 -1.000  79.038
  17  -1.  2.22E+02  5.339E+01  2.172  0.000  0.000  0.000  0.000 -1.000  78.989
  18  -2.  2.20E+02  5.315E+01  2.171  0.000  0.000  0.000  0.000 -1.000  78.897
  19  -1.  2.23E+02  5.306E+01  2.173  0.000  0.000  0.000  0.000 -1.000  78.851
  20  -2.  2.21E+02  5.288E+01  2.172  0.000  0.000  0.000  0.000 -1.000  78.771
  21  -1.  2.24E+02  5.276E+01  2.174  0.000  0.000  0.000  0.000 -1.000  78.727
  22  -2.  2.22E+02  5.265E+01  2.173  0.000  0.000  0.000  0.000 -1.000  78.658
