 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.54E+01  7.839E+03
   1  -3.  2.03E+01  4.630E+03  1.125  0.000  0.300  0.000  0.000 -1.000  39.130
   2  -4.  2.42E+01  3.845E+03  0.562  0.000  0.450  0.000  0.000 -1.000  49.091
   3  -1.  3.57E+01  1.777E+03  0.844  0.000  0.225  0.000  0.000 -1.000  59.124
   4  -2.  3.64E+01  1.284E+03  1.266  0.000  0.112  0.000  0.000 -1.000  44.186
   5  -3.  6.22E+01  6.421E+02  1.582  0.000  0.056  0.000  0.000 -1.000  41.370
   6  -4.  7.40E+01  2.805E+02  1.093  0.000  0.084  0.000  0.000 -1.000  43.675
   7  -5.  9.80E+01  1.882E+02  1.090  0.000  0.127  0.000  0.000 -1.000  37.059
   8  -3.  9.65E+01  1.877E+02  1.059  0.000  0.190  0.000  0.000 -1.000  37.714
   9  -4.  1.00E+02  1.821E+02  1.061  0.000  0.285  0.000  0.000 -1.000  37.609
  10  -5.  1.06E+02  1.739E+02  1.062  0.000  0.427  0.000  0.000 -1.000  37.514
  11  -5.  1.11E+02  1.704E+02  1.065  0.000  0.567  0.000  0.000 -1.000  37.363
  12  -5.  1.11E+02  1.704E+02  1.075  0.000  0.541  0.000  0.000 -1.000  37.289
  13  -6.  1.11E+02  1.704E+02  1.074  0.000  0.545  0.000  0.000 -1.000  37.260
  14   0.  1.11E+02  1.704E+02  1.074  0.000  0.545  0.000  0.000 -1.000  37.260
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.11E+02  1.846E+02
  15   3.  1.11E+02  1.704E+02  1.074  0.000  0.545  0.000  0.000 -1.000  37.260
   1  -1.  1.16E+02  1.736E+02  1.069  0.000  0.496  0.000  0.000 -1.000  36.678
   2  -1.  1.20E+02  1.652E+02  1.070  0.000  0.414  0.000  0.000 -1.000  36.088
   3  -1.  1.24E+02  1.592E+02  1.074  0.000  0.317  0.000  0.000 -1.000  35.514
   4  -1.  1.24E+02  1.591E+02  1.069  0.000  0.159  0.000  0.000 -1.000  34.471
   5  -1.  1.29E+02  1.524E+02  1.078  0.000  0.079  0.000  0.000 -1.000  34.023
   6  -1.  1.28E+02  1.522E+02  1.083  0.000  0.040  0.000  0.000 -1.000  33.385
   7   0.  1.30E+02  1.505E+02  1.077  0.000  0.020  0.000  0.000 -1.000  33.459
   8   0.  1.31E+02  1.495E+02  1.072  0.000  0.010  0.000  0.000 -1.000  33.483
   9  -1.  1.33E+02  1.491E+02  1.061  0.000  0.015  0.000  0.000 -1.000  33.520
  10  -2.  1.39E+02  1.429E+02  1.059  0.000  0.022  0.000  0.000 -1.000  31.207
  11   0.  1.39E+02  1.428E+02  1.062  0.000  0.011  0.000  0.000 -1.000  31.074
  12  -1.  1.39E+02  1.426E+02  1.066  0.000  0.017  0.000  0.000 -1.000  31.072
  13  -1.  1.38E+02  1.426E+02  1.070  0.000  0.008  0.000  0.000 -1.000  30.629
  14  -1.  1.40E+02  1.416E+02  1.058  0.000  0.004  0.000  0.000 -1.000  30.540
  15  -1.  1.41E+02  1.413E+02  1.055  0.000  0.006  0.000  0.000 -1.000  30.380
  16   0.  1.41E+02  1.413E+02  1.054  0.000  0.009  0.000  0.000 -1.000  30.360
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.41E+02  1.465E+02
  17   0.  1.41E+02  1.412E+02  1.054  0.000  0.005  0.000  0.000 -1.000  30.339
   1  -1.  1.40E+02  1.334E+02  1.058  0.000  0.002  0.000  0.000 -1.000  29.688
   2  -1.  1.41E+02  1.345E+02  1.054  0.000  0.003  0.000  0.000 -1.000  30.173
   3  -2.  1.41E+02  1.345E+02  1.041  0.000  0.004  0.000  0.000 -1.000  30.206
   4  -3.  1.46E+02  1.267E+02  1.025  0.000  0.006  0.000  0.000 -1.000  25.062
   5  -3.  1.49E+02  1.243E+02  1.044  0.000  0.005  0.000  0.000 -1.000  23.793
   6  -4.  1.50E+02  1.226E+02  1.033  0.000  0.003  0.000  0.000 -1.000  22.307
   7  -5.  1.47E+02  1.204E+02  0.988  0.000  0.003  0.000  0.000 -1.000  24.206
   8  -0.  1.48E+02  1.188E+02  0.978  0.000  0.004  0.000  0.000 -1.000  24.610
   9  -1.  1.52E+02  1.190E+02  0.960  0.000  0.006  0.000  0.000 -1.000  24.160
  10  -1.  1.53E+02  1.173E+02  0.958  0.000  0.003  0.000  0.000 -1.000  23.815
  11  -1.  1.54E+02  1.171E+02  0.958  0.000  0.004  0.000  0.000 -1.000  23.570
  12  -1.  1.54E+02  1.170E+02  0.959  0.000  0.005  0.000  0.000 -1.000  23.406
  13  -1.  1.54E+02  1.169E+02  0.960  0.000  0.008  0.000  0.000 -1.000  23.308
  14  -1.  1.54E+02  1.168E+02  0.960  0.000  0.012  0.000  0.000 -1.000  23.253
  15  -2.  1.54E+02  1.166E+02  0.963  0.000  0.018  0.000  0.000 -1.000  23.272
  16  -2.  1.54E+02  1.165E+02  0.963  0.000  0.027  0.000  0.000 -1.000  23.329
  17   1.  1.54E+02  1.165E+02  0.963  0.000  0.015  0.000  0.000 -1.000  23.326
 --------------------------------------------------------------------------------                                        
