 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       7.13E+00  3.085E+03
   1  -3.  2.02E+01  5.099E+02  1.500  0.000  0.300  0.000  0.000 -1.000   0.000
   2  -4.  2.88E+01  2.457E+02  2.250  0.000  0.450  0.000  0.000 -1.000   0.000
   3  -5.  4.29E+01  1.436E+02  1.600  0.000  0.675  0.000  0.000 -1.000   0.000
   4  -5.  5.77E+01  6.255E+01  1.043  0.000  1.012  0.000  0.000 -1.000   0.000
   5  -6.  8.78E+01  4.426E+01  1.068  0.000  1.310  0.000  0.000 -1.000   0.000
   6  -6.  8.91E+01  4.401E+01  1.058  0.000  1.358  0.000  0.000 -1.000   0.000
   7  -6.  8.96E+01  4.401E+01  1.067  0.000  1.361  0.000  0.000 -1.000   0.000
   8  -7.  8.97E+01  4.401E+01  1.066  0.000  1.365  0.000  0.000 -1.000   0.000
   9  -7.  8.97E+01  4.401E+01  1.067  0.000  1.365  0.000  0.000 -1.000   0.000
  10  -7.  8.97E+01  4.401E+01  1.067  0.000  1.365  0.000  0.000 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       8.97E+01  7.729E+01
   1  -1.  8.41E+01  6.633E+01  1.041  0.000  1.492  0.000  0.000 -1.000   0.000
   2  -2.  9.06E+01  6.357E+01  1.156  0.000  1.541  0.000  0.000 -1.000   0.000
   3  -1.  9.16E+01  6.230E+01  1.138  0.000  1.532  0.000  0.000 -1.000   0.000
   4  -2.  9.59E+01  5.999E+01  1.198  0.000  1.506  0.000  0.000 -1.000   0.000
   5  -1.  9.63E+01  5.933E+01  1.202  0.000  1.489  0.000  0.000 -1.000   0.000
   6  -1.  9.70E+01  5.896E+01  1.204  0.000  1.485  0.000  0.000 -1.000   0.000
   7  -1.  9.75E+01  5.864E+01  1.208  0.000  1.480  0.000  0.000 -1.000   0.000
   8  -1.  9.78E+01  5.836E+01  1.213  0.000  1.476  0.000  0.000 -1.000   0.000
   9  -1.  9.81E+01  5.811E+01  1.217  0.000  1.471  0.000  0.000 -1.000   0.000
  10  -1.  9.82E+01  5.788E+01  1.221  0.000  1.466  0.000  0.000 -1.000   0.000
  11  -1.  9.83E+01  5.772E+01  1.226  0.000  1.460  0.000  0.000 -1.000   0.000
  12  -1.  9.84E+01  5.757E+01  1.228  0.000  1.456  0.000  0.000 -1.000   0.000
  13  -2.  9.81E+01  5.680E+01  1.234  0.000  1.454  0.000  0.000 -1.000   0.000
  14  -2.  9.82E+01  5.632E+01  1.251  0.000  1.440  0.000  0.000 -1.000   0.000
  15  -3.  9.75E+01  5.571E+01  1.274  0.000  1.434  0.000  0.000 -1.000   0.000
  16  -4.  9.75E+01  5.552E+01  1.300  0.000  1.416  0.000  0.000 -1.000   0.000
  17  -5.  9.75E+01  5.550E+01  1.310  0.000  1.407  0.000  0.000 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       9.76E+01  3.965E+02
  18  -5.  9.76E+01  5.550E+01  1.314  0.000  1.403  0.000  0.000 -1.000   0.000
   1  -3.  9.66E+01  3.888E+02  1.487  0.000  1.537  0.000  0.000 -1.000   0.000
   2  -4.  8.21E+01  3.719E+02  1.556  0.000  1.588  0.000  0.000 -1.000   0.000
   3  -5.  7.62E+01  3.085E+02  1.703  0.000  1.407  0.000  0.000 -1.000   0.000
   4  -5.  1.27E+02  2.502E+02  1.873  0.000  1.360  0.000  0.000 -1.000   0.000
   5  -2.  1.47E+02  1.583E+02  1.705  0.000  1.158  0.000  0.000 -1.000   0.000
   6  -2.  1.44E+02  1.358E+02  1.591  0.000  1.077  0.000  0.000 -1.000   0.000
   7  -3.  1.68E+02  6.702E+01  1.600  0.000  0.976  0.000  0.000 -1.000   0.000
   8  -3.  1.78E+02  6.196E+01  1.558  0.000  0.905  0.000  0.000 -1.000   0.000
   9  -3.  1.58E+02  5.378E+01  1.505  0.000  0.610  0.000  0.000 -1.000   0.000
  10  -2.  1.44E+02  4.758E+01  1.474  0.000  0.644  0.000  0.000 -1.000   0.000
  11  -2.  1.39E+02  4.705E+01  1.477  0.000  0.586  0.000  0.000 -1.000   0.000
  12  -3.  1.65E+02  4.130E+01  1.458  0.000  0.446  0.000  0.000 -1.000   0.000
  13  -4.  1.88E+02  3.590E+01  1.471  0.000  0.378  0.000  0.000 -1.000   0.000
  14  -5.  1.88E+02  3.521E+01  1.468  0.000  0.209  0.000  0.000 -1.000   0.000
  15  -5.  1.69E+02  3.572E+01  1.459  0.000  0.314  0.000  0.000 -1.000   0.000
  16  -1.  1.66E+02  3.335E+01  1.447  0.000  0.380  0.000  0.000 -1.000   0.000
  17  -2.  1.64E+02  3.396E+01  1.451  0.000  0.312  0.000  0.000 -1.000   0.000
  18  -3.  1.60E+02  3.385E+01  1.454  0.000  0.301  0.000  0.000 -1.000   0.000
  19  -4.  1.58E+02  3.391E+01  1.456  0.000  0.304  0.000  0.000 -1.000   0.000
