 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
  13  -1.  1.31E+02  2.879E+01  1.106  1.106  1.713  1.713  0.443 -1.000   0.000
  14  -2.  1.32E+02  2.864E+01  1.110  1.110  1.717  1.717  0.426 -1.000   0.000
  15  -3.  1.31E+02  2.861E+01  1.104  1.104  1.704  1.704  0.384 -1.000   0.000
  16  -4.  1.38E+02  2.841E+01  1.109  1.109  1.685  1.685  0.376 -1.000   0.000
  17  -5.  1.38E+02  2.840E+01  1.102  1.102  1.682  1.682  0.368 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.39E+02  4.730E+01
  18  -5.  1.39E+02  2.840E+01  1.105  1.105  1.676  1.676  0.367 -1.000   0.000
   1  -1.  1.36E+02  4.534E+01  1.102  1.102  1.745  1.745  0.363 -1.000   0.000
   2  -2.  1.34E+02  4.455E+01  1.050  1.050  1.701  1.701  0.344 -1.000   0.000
   3  -1.  1.36E+02  4.375E+01  1.046  1.046  1.674  1.674  0.339 -1.000   0.000
   4  -2.  1.33E+02  4.318E+01  1.039  1.039  1.630  1.630  0.307 -1.000   0.000
   5  -1.  1.37E+02  4.252E+01  1.033  1.033  1.624  1.624  0.303 -1.000   0.000
   6  -2.  1.36E+02  4.171E+01  1.037  1.037  1.597  1.597  0.280 -1.000   0.000
   7  -1.  1.37E+02  4.104E+01  1.051  1.051  1.585  1.585  0.277 -1.000   0.000
   8  -2.  1.36E+02  4.030E+01  1.047  1.047  1.598  1.598  0.264 -1.000   0.000
   9  -1.  1.36E+02  4.005E+01  1.037  1.037  1.605  1.605  0.264 -1.000   0.000
  10  -2.  1.34E+02  3.986E+01  1.023  1.023  1.621  1.621  0.260 -1.000   0.000
  11  -3.  1.30E+02  3.981E+01  1.014  1.014  1.632  1.632  0.246 -1.000   0.000
  12  -2.  1.31E+02  3.979E+01  1.012  1.012  1.625  1.625  0.246 -1.000   0.000
  13  -1.  1.31E+02  3.978E+01  1.015  1.015  1.624  1.624  0.247 -1.000   0.000
  14  -2.  1.31E+02  3.978E+01  1.014  1.014  1.623  1.623  0.247 -1.000   0.000
  15  -1.  1.31E+02  3.975E+01  1.015  1.015  1.623  1.623  0.248 -1.000   0.000
  16  -2.  1.31E+02  3.975E+01  1.014  1.014  1.624  1.624  0.247 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.32E+02  2.905E+02
