 -------------------------------------------------------------------------------
 -                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
  14  -4.  1.52E+02  3.066E+01  1.181  1.181  1.408  1.408  0.111 -1.000   0.000
  15  -5.  1.49E+02  3.050E+01  1.125  1.125  1.429  1.429  0.108 -1.000   0.000
  16  -5.  1.45E+02  3.033E+01  1.148  1.148  1.407  1.407  0.100 -1.000   0.000
  17  -5.  1.42E+02  3.014E+01  1.137  1.137  1.406  1.406  0.095 -1.000   0.000
  18  -6.  1.38E+02  2.995E+01  1.142  1.142  1.393  1.393  0.089 -1.000   0.000
  19  -6.  1.35E+02  2.978E+01  1.142  1.142  1.384  1.384  0.085 -1.000   0.000
  20  -6.  1.33E+02  2.967E+01  1.145  1.145  1.373  1.373  0.083 -1.000   0.000
  21  -6.  1.31E+02  2.960E+01  1.146  1.146  1.363  1.363  0.082 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.31E+02  4.942E+01
  22  -7.  1.31E+02  2.958E+01  1.147  1.147  1.356  1.356  0.081 -1.000   0.000
   1  -1.  1.32E+02  4.264E+01  1.142  1.142  1.475  1.475  0.076 -1.000   0.000
   2  -2.  1.50E+02  4.049E+01  1.183  1.183  1.498  1.498  0.082 -1.000   0.000
   3  -1.  1.50E+02  3.846E+01  1.179  1.179  1.504  1.504  0.080 -1.000   0.000
   4  -1.  1.51E+02  3.623E+01  1.183  1.183  1.501  1.501  0.084 -1.000   0.000
   5  -1.  1.53E+02  3.517E+01  1.205  1.205  1.486  1.486  0.087 -1.000   0.000
   6  -1.  1.54E+02  3.289E+01  1.225  1.225  1.474  1.474  0.088 -1.000   0.000
   7  -1.  1.58E+02  2.959E+01  1.249  1.249  1.456  1.456  0.092 -1.000   0.000
   8  -1.  1.62E+02  2.718E+01  1.270  1.270  1.428  1.428  0.100 -1.000   0.000
   9  -1.  1.63E+02  2.582E+01  1.269  1.269  1.409  1.409  0.106 -1.000   0.000
  10  -1.  1.67E+02  2.483E+01  1.259  1.259  1.390  1.390  0.124 -1.000   0.000
  11  -1.  1.72E+02  2.432E+01  1.239  1.239  1.359  1.359  0.144 -1.000   0.000
  12   0.  1.71E+02  2.319E+01  1.227  1.227  1.354  1.354  0.148 -1.000   0.000
  13   0.  1.72E+02  2.285E+01  1.217  1.217  1.349  1.349  0.151 -1.000   0.000
  14   0.  1.72E+02  2.275E+01  1.210  1.210  1.348  1.348  0.153 -1.000   0.000
  15   0.  1.72E+02  2.270E+01  1.204  1.204  1.348  1.348  0.155 -1.000   0.000
  16   0.  1.72E+02  2.267E+01  1.199  1.199  1.349  1.349  0.156 -1.000   0.000
  17   0.  1.73E+02  2.266E+01  1.194  1.194  1.349  1.349  0.157 -1.000   0.000
  18   0.  1.73E+02  2.264E+01  1.190  1.190  1.350  1.350  0.158 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.73E+02  1.461E+02
  19   0.  1.73E+02  2.264E+01  1.186  1.186  1.351  1.351  0.159 -1.000   0.000
   1  -1.  1.73E+02  1.332E+02  1.206  1.206  1.359  1.359  0.156 -1.000   0.000
   2  -1.  1.70E+02  1.272E+02  1.196  1.196  1.396  1.396  0.164 -1.000   0.000
   3  -1.  1.67E+02  1.228E+02  1.167  1.167  1.431  1.431  0.172 -1.000   0.000
   4   0.  1.67E+02  1.192E+02  1.160  1.160  1.432  1.432  0.178 -1.000   0.000
   5   0.  1.66E+02  1.167E+02  1.155  1.155  1.434  1.434  0.182 -1.000   0.000
   6   0.  1.66E+02  1.147E+02  1.152  1.152  1.437  1.437  0.185 -1.000   0.000
   7   0.  1.66E+02  1.128E+02  1.151  1.151  1.440  1.440  0.189 -1.000   0.000
   8   0.  1.66E+02  1.111E+02  1.150  1.150  1.443  1.443  0.193 -1.000   0.000
   9   0.  1.66E+02  1.094E+02  1.149  1.149  1.446  1.446  0.196 -1.000   0.000
  10   0.  1.67E+02  1.077E+02  1.149  1.149  1.449  1.449  0.200 -1.000   0.000
  11   0.  1.67E+02  1.061E+02  1.148  1.148  1.451  1.451  0.204 -1.000   0.000
  12   0.  1.67E+02  1.044E+02  1.148  1.148  1.453  1.453  0.208 -1.000   0.000
  13   0.  1.67E+02  1.027E+02  1.148  1.148  1.456  1.456  0.212 -1.000   0.000
  14   0.  1.67E+02  1.011E+02  1.147  1.147  1.458  1.458  0.217 -1.000   0.000
  15   0.  1.66E+02  9.962E+01  1.147  1.147  1.460  1.460  0.221 -1.000   0.000
  16   0.  1.65E+02  9.814E+01  1.147  1.147  1.461  1.461  0.225 -1.000   0.000
  17   0.  1.64E+02  9.673E+01  1.146  1.146  1.463  1.463  0.229 -1.000   0.000
  18   0.  1.62E+02  9.538E+01  1.146  1.146  1.464  1.464  0.234 -1.000   0.000
  19   0.  1.61E+02  9.410E+01  1.145  1.145  1.466  1.466  0.238 -1.000   0.000
  20   0.  1.59E+02  9.282E+01  1.144  1.144  1.467  1.467  0.242 -1.000   0.000
  21   0.  1.56E+02  9.169E+01  1.143  1.143  1.469  1.469  0.246 -1.000   0.000
  22   0.  1.54E+02  9.061E+01  1.142  1.142  1.470  1.470  0.250 -1.000   0.000
  23   0.  1.51E+02  8.959E+01  1.141  1.141  1.472  1.472  0.254 -1.000   0.000
  24   0.  1.48E+02  8.863E+01  1.140  1.140  1.473  1.473  0.257 -1.000   0.000
  25   0.  1.45E+02  8.773E+01  1.139  1.139  1.475  1.475  0.261 -1.000   0.000
  26   0.  1.42E+02  8.687E+01  1.138  1.138  1.476  1.476  0.264 -1.000   0.000
 -------------------------------------------------------------------------------
 -                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       7.93E+00  2.308E+03
   1  -3.  9.73E+00  9.201E+02  1.500  1.500  0.300  0.300  0.400 -1.000   0.000
   2  -4.  9.66E+00  8.566E+02  2.250  2.250  0.450  0.450  0.571 -1.000   0.000
   3  -5.  1.24E+01  6.700E+02  1.125  1.125  0.675  0.675  0.471 -1.000   0.000
   4  -0.  1.40E+01  5.293E+02  1.557  1.557  1.012  1.012  0.372 -1.000   0.000
   5  -1.  2.56E+01  2.719E+02  1.975  1.975  1.519  1.519  0.283 -1.000   0.000
   6  -1.  2.87E+01  2.219E+02  2.962  2.962  2.016  2.016  0.208 -1.000   0.000
   7  -1.  4.32E+01  1.876E+02  1.961  1.961  2.356  2.356  0.230 -1.000   0.000
   8  -1.  5.23E+01  1.137E+02  2.653  2.653  1.766  1.766  0.166 -1.000   0.000
   9  -1.  6.83E+01  8.155E+01  1.326  1.326  1.903  1.903  0.227 -1.000   0.000
  10  -1.  8.67E+01  4.759E+01  1.590  1.590  1.388  1.388  0.164 -1.000   0.000
  11  -2.  1.37E+02  3.597E+01  0.941  0.941  1.684  1.684  0.144 -1.000   0.000
  12  -2.  1.54E+02  3.208E+01  1.336  1.336  1.405  1.405  0.120 -1.000   0.000
  13  -3.  1.50E+02  3.103E+01  1.077  1.077  1.492  1.492  0.124 -1.000   0.000
  14  -4.  1.52E+02  3.066E+01  1.181  1.181  1.408  1.408  0.111 -1.000   0.000
  15  -5.  1.49E+02  3.050E+01  1.125  1.125  1.429  1.429  0.108 -1.000   0.000
  16  -5.  1.45E+02  3.033E+01  1.148  1.148  1.407  1.407  0.100 -1.000   0.000
  17  -5.  1.42E+02  3.014E+01  1.137  1.137  1.406  1.406  0.095 -1.000   0.000
  18  -6.  1.38E+02  2.995E+01  1.142  1.142  1.393  1.393  0.089 -1.000   0.000
  19  -6.  1.35E+02  2.978E+01  1.142  1.142  1.384  1.384  0.085 -1.000   0.000
  20  -6.  1.33E+02  2.967E+01  1.145  1.145  1.373  1.373  0.083 -1.000   0.000
  21  -6.  1.31E+02  2.960E+01  1.146  1.146  1.363  1.363  0.082 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.31E+02  4.862E+01
  22  -7.  1.31E+02  2.958E+01  1.147  1.147  1.356  1.356  0.081 -1.000   0.000
   1  -3.  1.21E+02  4.381E+01  1.097  1.097  1.495  1.495  0.069 -1.000   0.000
   2  -4.  1.27E+02  4.342E+01  1.123  1.123  1.478  1.478  0.072 -1.000   0.000
   3  -5.  1.26E+02  4.341E+01  1.122  1.122  1.480  1.480  0.070 -1.000   0.000
   4  -5.  1.25E+02  4.340E+01  1.121  1.121  1.480  1.480  0.069 -1.000   0.000
   5  -6.  1.25E+02  4.340E+01  1.122  1.122  1.480  1.480  0.068 -1.000   0.000
   6  -6.  1.24E+02  4.340E+01  1.122  1.122  1.480  1.480  0.068 -1.000   0.000
   7  -6.  1.26E+02  4.336E+01  1.113  1.113  1.470  1.470  0.068 -1.000   0.000
   8  -7.  1.26E+02  4.335E+01  1.120  1.120  1.472  1.472  0.068 -1.000   0.000
   9  -7.  1.25E+02  4.335E+01  1.116  1.116  1.473  1.473  0.068 -1.000   0.000
  10  -7.  1.25E+02  4.335E+01  1.117  1.117  1.472  1.472  0.067 -1.000   0.000
  11  -7.  1.25E+02  4.334E+01  1.117  1.117  1.472  1.472  0.067 -1.000   0.000
  12  -8.  1.25E+02  4.334E+01  1.117  1.117  1.472  1.472  0.067 -1.000   0.000
  13  -8.  1.25E+02  4.334E+01  1.117  1.117  1.473  1.473  0.067 -1.000   0.000
  14  -8.  1.25E+02  4.334E+01  1.117  1.117  1.473  1.473  0.067 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.25E+02  3.050E+02
  15  -9.  1.25E+02  4.334E+01  1.117  1.117  1.473  1.473  0.067 -1.000   0.000
   1  -1.  1.24E+02  2.987E+02  1.104  1.104  1.583  1.583  0.065 -1.000   0.000
   2  -2.  1.14E+02  2.946E+02  1.141  1.141  1.683  1.683  0.058 -1.000   0.000
   3  -3.  1.02E+02  2.895E+02  1.157  1.157  1.724  1.724  0.053 -1.000   0.000
   4  -4.  1.04E+02  2.890E+02  1.150  1.150  1.711  1.711  0.057 -1.000   0.000
   5  -5.  1.02E+02  2.887E+02  1.159  1.159  1.702  1.702  0.056 -1.000   0.000
   6  -5.  1.02E+02  2.882E+02  1.155  1.155  1.702  1.702  0.056 -1.000   0.000
   7  -6.  1.02E+02  2.872E+02  1.165  1.165  1.688  1.688  0.057 -1.000   0.000
   8  -6.  9.99E+01  2.859E+02  1.194  1.194  1.640  1.640  0.058 -1.000   0.000
   9  -6.  9.64E+01  2.849E+02  1.220  1.220  1.588  1.588  0.063 -1.000   0.000
  10  -7.  9.62E+01  2.842E+02  1.213  1.213  1.595  1.595  0.066 -1.000   0.000
  11  -7.  9.59E+01  2.842E+02  1.215  1.215  1.592  1.592  0.065 -1.000   0.000
  12  -1.  9.59E+01  2.842E+02  1.215  1.215  1.592  1.592  0.065 -1.000   0.000
  13   3.  9.59E+01  2.842E+02  1.215  1.215  1.592  1.592  0.065 -1.000   0.000
 -------------------------------------------------------------------------------
 -                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       7.93E+00  2.318E+03
   1  -3.  2.30E+01  4.243E+02  1.500  1.500  0.300  0.300  0.446 -1.000   0.000
   2  -4.  3.25E+01  2.434E+02  2.250  2.250  0.450  0.450  0.617 -1.000   0.000
   3  -3.  3.25E+01  2.142E+02  1.979  1.979  0.675  0.675  0.579 -1.000   0.000
   4  -2.  4.01E+01  1.182E+02  0.990  0.990  1.012  1.012  0.591 -1.000   0.000
   5  -1.  9.72E+01  3.884E+01  1.155  1.155  1.440  1.440  0.491 -1.000   0.000
   6  -2.  1.42E+02  3.292E+01  1.173  1.173  1.421  1.421  0.445 -1.000   0.000
   7  -1.  1.45E+02  3.158E+01  1.150  1.150  1.430  1.430  0.444 -1.000   0.000
   8  -2.  1.43E+02  3.121E+01  1.139  1.139  1.438  1.438  0.436 -1.000   0.000
   9  -1.  1.45E+02  3.007E+01  1.139  1.139  1.439  1.439  0.435 -1.000   0.000
  10  -2.  1.44E+02  2.999E+01  1.129  1.129  1.452  1.452  0.423 -1.000   0.000
  11  -1.  1.45E+02  2.989E+01  1.132  1.132  1.455  1.455  0.422 -1.000   0.000
  12  -2.  1.45E+02  2.981E+01  1.130  1.130  1.460  1.460  0.409 -1.000   0.000
  13  -1.  1.46E+02  2.980E+01  1.132  1.132  1.463  1.463  0.408 -1.000   0.000
  14  -2.  1.46E+02  2.973E+01  1.132  1.132  1.468  1.468  0.396 -1.000   0.000
  15  -1.  1.46E+02  2.972E+01  1.134  1.134  1.471  1.471  0.395 -1.000   0.000
  16  -2.  1.47E+02  2.966E+01  1.134  1.134  1.477  1.477  0.384 -1.000   0.000
  17  -1.  1.47E+02  2.965E+01  1.136  1.136  1.480  1.480  0.383 -1.000   0.000
