 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       5.07E+01  4.139E+05
   1  -3.  6.34E+01  2.657E+05  0.999  0.000  0.607  0.000  0.000 -1.000  27.273
   2  -4.  7.51E+01  2.155E+05  0.986  0.000  0.618  0.000  0.000 -1.000  36.000
   3  -5.  9.06E+01  1.685E+05  0.968  0.000  0.630  0.000  0.000 -1.000  45.763
   4  -5.  1.10E+02  1.233E+05  0.941  0.000  0.643  0.000  0.000 -1.000  55.862
   5  -6.  1.33E+02  8.358E+04  0.902  0.000  0.651  0.000  0.000 -1.000  65.499
   6  -6.  1.52E+02  5.094E+04  0.848  0.000  0.645  0.000  0.000 -1.000  74.010
   7  -6.  1.66E+02  2.788E+04  0.782  0.000  0.619  0.000  0.000 -1.000  81.030
   8  -7.  1.79E+02  1.372E+04  0.721  0.000  0.557  0.000  0.000 -1.000  86.500
   9  -7.  1.91E+02  6.453E+03  0.700  0.000  0.400  0.000  0.000 -1.000  90.576
  10  -7.  1.80E+02  3.373E+03  0.746  0.000  0.200  0.000  0.000 -1.000  93.513
  11  -7.  1.94E+02  1.781E+03  0.952  0.000  0.100  0.000  0.000 -1.000  95.580
  12  -8.  3.94E+02  9.355E+02  1.428  0.000  0.050  0.000  0.000 -1.000  97.009
  13  -8.  5.69E+02  7.702E+02  1.214  0.000  0.025  0.000  0.000 -1.000  97.790
  14  -2.  6.27E+02  7.606E+02  0.831  0.000  0.037  0.000  0.000 -1.000  97.256
  15  -3.  4.22E+02  7.573E+02  1.010  0.000  0.056  0.000  0.000 -1.000  94.659
  16  -4.  5.99E+02  6.902E+02  0.819  0.000  0.084  0.000  0.000 -1.000  95.390
  17  -3.  5.96E+02  6.877E+02  0.863  0.000  0.127  0.000  0.000 -1.000  93.690
  18  -4.  6.04E+02  6.791E+02  0.805  0.000  0.190  0.000  0.000 -1.000  94.739
  19  -2.  6.09E+02  6.770E+02  0.821  0.000  0.285  0.000  0.000 -1.000  94.616
  20  -3.  6.02E+02  6.759E+02  0.830  0.000  0.427  0.000  0.000 -1.000  93.976
  21  -3.  6.11E+02  6.735E+02  0.829  0.000  0.569  0.000  0.000 -1.000  94.055
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       6.17E+02  6.773E+02
  22  -3.  6.17E+02  6.727E+02  0.857  0.000  0.596  0.000  0.000 -1.000  93.667
   1  -1.  6.11E+02  6.400E+02  0.858  0.000  0.685  0.000  0.000 -1.000  93.672
   2  -2.  6.33E+02  6.072E+02  0.900  0.000  0.726  0.000  0.000 -1.000  94.243
   3  -1.  6.82E+02  5.434E+02  0.959  0.000  0.562  0.000  0.000 -1.000  94.209
   4  -1.  6.91E+02  5.374E+02  0.897  0.000  0.485  0.000  0.000 -1.000  94.098
   5  -1.  6.97E+02  5.368E+02  0.869  0.000  0.443  0.000  0.000 -1.000  94.025
   6   0.  6.96E+02  5.283E+02  0.868  0.000  0.439  0.000  0.000 -1.000  94.080
   7  -1.  6.93E+02  5.251E+02  0.840  0.000  0.336  0.000  0.000 -1.000  94.149
   8  -2.  6.96E+02  5.224E+02  0.787  0.000  0.168  0.000  0.000 -1.000  94.196
   9   0.  6.97E+02  5.214E+02  0.788  0.000  0.084  0.000  0.000 -1.000  94.164
  10   0.  6.97E+02  5.213E+02  0.791  0.000  0.042  0.000  0.000 -1.000  94.162
  11   0.  6.98E+02  5.211E+02  0.791  0.000  0.021  0.000  0.000 -1.000  94.132
  12   0.  6.99E+02  5.210E+02  0.788  0.000  0.031  0.000  0.000 -1.000  94.114
  13   1.  6.99E+02  5.209E+02  0.789  0.000  0.016  0.000  0.000 -1.000  94.117
  14   1.  6.99E+02  5.208E+02  0.790  0.000  0.010  0.000  0.000 -1.000  94.119
  15   0.  6.99E+02  5.207E+02  0.790  0.000  0.005  0.000  0.000 -1.000  94.122
  16  -1.  6.98E+02  5.204E+02  0.784  0.000  0.002  0.000  0.000 -1.000  94.071
  17  -2.  6.98E+02  5.197E+02  0.771  0.000  0.001  0.000  0.000 -1.000  93.736
  18  -3.  6.97E+02  5.193E+02  0.765  0.000  0.001  0.000  0.000 -1.000  93.178
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       6.97E+02  5.214E+02
  19  -4.  6.97E+02  5.191E+02  0.759  0.000  0.000  0.000  0.000 -1.000  92.935
   1  -3.  6.98E+02  4.728E+02  0.818  0.000  0.000  0.000  0.000 -1.000  95.176
   2  -4.  7.09E+02  4.442E+02  0.824  0.000  0.000  0.000  0.000 -1.000  95.573
   3  -5.  7.13E+02  4.376E+02  0.801  0.000  0.000  0.000  0.000 -1.000  95.352
   4  -5.  7.15E+02  4.374E+02  0.821  0.000  0.000  0.000  0.000 -1.000  95.358
   5  -1.  7.15E+02  4.374E+02  0.820  0.000  0.000  0.000  0.000 -1.000  95.358
   6   3.  7.15E+02  4.374E+02  0.820  0.000  0.000  0.000  0.000 -1.000  95.358
