 -------------------------------------------------------------------------------
 -                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       8.54E+00  2.880E+03
   1  -3.  1.58E+01  2.101E+03  1.125  0.000  0.600  0.000  0.000 -1.000   0.000
   2  -4.  1.71E+01  1.944E+03  0.562  0.000  0.600  0.000  0.000 -1.000   0.000
   3  -5.  1.63E+01  1.671E+03  0.844  0.000  0.600  0.000  0.000 -1.000   0.000
   4  -0.  1.80E+01  1.474E+03  1.266  0.000  0.600  0.000  0.000 -1.000   0.000
   5  -0.  1.81E+01  1.301E+03  1.078  0.000  0.600  0.000  0.000 -1.000   0.000
   6  -0.  1.70E+01  1.096E+03  1.163  0.000  0.600  0.000  0.000 -1.000   0.000
   7  -0.  1.78E+01  9.769E+02  1.120  0.000  0.600  0.000  0.000 -1.000   0.000
   8  -0.  1.82E+01  9.138E+02  1.076  0.000  0.600  0.000  0.000 -1.000   0.000
   9  -0.  1.86E+01  8.086E+02  1.152  0.000  0.600  0.000  0.000 -1.000   0.000
  10  -0.  1.86E+01  6.976E+02  1.121  0.000  0.600  0.000  0.000 -1.000   0.000
  11  -1.  1.78E+01  6.197E+02  1.375  0.000  0.600  0.000  0.000 -1.000   0.000
  12  -0.  1.81E+01  5.353E+02  1.103  0.000  0.600  0.000  0.000 -1.000   0.000
  13  -0.  1.75E+01  5.322E+02  1.016  0.000  0.600  0.000  0.000 -1.000   0.000
  14  -0.  1.70E+01  5.294E+02  0.971  0.000  0.600  0.000  0.000 -1.000   0.000
  15   1.  1.73E+01  5.225E+02  0.975  0.000  0.600  0.000  0.000 -1.000   0.000
  16   1.  1.75E+01  5.190E+02  0.978  0.000  0.600  0.000  0.000 -1.000   0.000
  17   1.  1.76E+01  5.174E+02  0.981  0.000  0.600  0.000  0.000 -1.000   0.000
  18   1.  1.76E+01  5.166E+02  0.985  0.000  0.600  0.000  0.000 -1.000   0.000
  19   1.  1.77E+01  5.157E+02  0.989  0.000  0.600  0.000  0.000 -1.000   0.000
  20   1.  1.77E+01  5.152E+02  0.992  0.000  0.600  0.000  0.000 -1.000   0.000
 -------------------------------------------------------------------------------
 -                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       8.54E+00  2.880E+03
   1  -3.  1.58E+01  2.101E+03  1.125  0.000  0.600  0.000  0.000 -1.000   0.000
   2  -4.  1.71E+01  1.944E+03  0.562  0.000  0.600  0.000  0.000 -1.000   0.000
   3  -5.  1.63E+01  1.671E+03  0.844  0.000  0.600  0.000  0.000 -1.000   0.000
   4  -0.  1.80E+01  1.474E+03  1.266  0.000  0.600  0.000  0.000 -1.000   0.000
