 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.23E+03  3.806E+00
  27  -1.  1.23E+03  3.877E+00  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   1  -3.  1.24E+03  3.760E+00  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   2  -4.  1.23E+03  3.734E+00  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   3  -5.  1.22E+03  3.689E+00  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       2.41E+00  3.830E+06
   1  -3.  1.62E+01  3.452E+04  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   2  -4.  4.08E+01  1.300E+03  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   3  -5.  5.54E+01  7.326E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   4  -5.  5.90E+01  6.655E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   5  -6.  5.92E+01  6.643E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   6  -4.  5.92E+01  6.643E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   7  -5.  5.92E+01  6.643E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   8  -3.  8.32E+01  3.532E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   9  -4.  8.33E+01  3.526E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  10  -5.  8.33E+01  3.526E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  11  -3.  9.73E+01  2.681E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  12  -4.  9.73E+01  2.680E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  13  -5.  9.73E+01  2.680E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  14  -3.  1.13E+02  2.105E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  15  -4.  1.13E+02  2.104E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  16  -2.  1.16E+02  2.029E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.16E+02  2.047E+02
  17  -3.  1.16E+02  2.029E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   1  -3.  2.71E+02  4.676E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   2  -4.  2.84E+02  3.808E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   3  -5.  2.82E+02  3.805E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   4  -3.  2.82E+02  3.804E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   5  -4.  2.82E+02  3.804E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   6  -3.  3.24E+02  3.168E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   7  -4.  3.24E+02  3.165E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   8  -5.  3.24E+02  3.164E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   9  -3.  3.70E+02  2.730E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  10  -4.  3.70E+02  2.728E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  11  -3.  3.91E+02  2.609E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  12  -4.  3.91E+02  2.608E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  13  -3.  3.99E+02  2.576E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  14  -4.  3.99E+02  2.576E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  15  -3.  4.02E+02  2.567E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       4.02E+02  2.678E+01
